measurement_id,target_uri,target_name,target_type,target_category,variable_uri,variable_name,variable_unit,value,date,confidence,measurement_method,operator,treatment,block,replicate,notes
DEMO_000001,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0311,Block1-Salt-Rep03-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,0.99,2025-05-01 04:13:38,0.887,Remote sensing,researcher_02,Salt,N/A,N/A,Demo measurement day 1 - Stomatal Conductance
DEMO_000002,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block4-heat-rep10,Block4-Heat-Rep10,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,5.99,2025-04-30 19:53:55,0.922,Semi-automated,researcher_03,Heat,4,10,Demo measurement day 1 - Water Use Efficiency
DEMO_000003,http://www.phenome-fppn.fr/platform/diaphen/2024/sensor-canopy-14,Canopy-Sensor-14,http://www.opensilex.org/vocabulary/oeso#SensingDevice,sensor,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#precipitation,Precipitation,mm,37.4,2025-04-30 19:02:26,0.882,Remote sensing,sensor_system,None,N/A,N/A,Demo measurement day 1 - Precipitation
DEMO_000004,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block6-high-n-rep09,Block6-High-N-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,4.67,2025-04-30 16:03:34,0.95,Manual,researcher_03,High-N,6,9,Demo measurement day 1 - Water Use Efficiency
DEMO_000005,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0845,Block3-High-N-Rep09-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,12.4,2025-04-30 22:44:52,0.927,Semi-automated,researcher_03,High-N,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000006,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0709,Block3-Control-Rep02-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,33.13,2025-05-01 00:53:26,0.987,Automated,researcher_03,Control,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000007,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0119,Block1-High-N-Rep04-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,6.17,2025-05-01 01:42:52,0.856,Manual,researcher_01,High-N,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000008,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-cold-rep09,Block5-Cold-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,83.1,2025-05-01 01:48:24,0.908,Remote sensing,researcher_02,Cold,5,9,Demo measurement day 1 - Plant Height
DEMO_000009,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block7-low-n-rep08,Block7-Low-N-Rep08,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#co2_concentration,CO2 Concentration,ppm,1039.88,2025-04-30 21:51:58,0.961,Automated,researcher_03,Low-N,7,8,Demo measurement day 1 - CO2 Concentration
DEMO_000010,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0959,Block3-Cold-Rep02-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,46.61,2025-05-01 04:22:20,0.901,Remote sensing,researcher_02,Cold,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000011,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0101,Block1-High-N-Rep01-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,102.54,2025-05-01 06:45:04,0.96,Remote sensing,sensor_system,High-N,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000012,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0151,Block1-Low-N-Rep01-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stem_diameter,Stem Diameter,mm,13.3,2025-04-30 17:58:19,0.955,Remote sensing,researcher_01,Low-N,N/A,N/A,Demo measurement day 1 - Stem Diameter
DEMO_000015,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0760,Block3-Drought-Rep02-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,4.92,2025-04-30 19:58:57,0.924,Remote sensing,field_team,Drought,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000016,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0716,Block3-Control-Rep04-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,129.11,2025-04-30 16:18:54,0.93,Manual,sensor_system,Control,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000017,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0602,Block2-Cold-Rep01-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,117.79,2025-05-01 03:16:03,0.888,Manual,researcher_01,Cold,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000018,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-high-n-rep09,Block1-High-N-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#root_length,Root Length,cm,22.5,2025-04-30 21:27:04,0.925,Remote sensing,researcher_03,High-N,1,9,Demo measurement day 1 - Root Length
