measurement_id,target_uri,target_name,target_type,target_category,variable_uri,variable_name,variable_unit,value,date,confidence,measurement_method,operator,treatment,block,replicate,notes
DEMO_000001,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0624,Block2-Cold-Rep05-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,63.3,2025-05-06 18:08:30,0.901,Remote sensing,sensor_system,Cold,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000002,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0640,Block2-Cold-Rep08-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,131.4,2025-05-07 00:13:55,0.988,Automated,field_team,Cold,N/A,N/A,Demo measurement day 1 - Dry Biomass
DEMO_000003,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block4-low-n-rep07,Block4-Low-N-Rep07,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#light_intensity,Light Intensity,μmol/m²/s,518.2,2025-05-07 03:32:34,0.939,Manual,researcher_01,Low-N,4,7,Demo measurement day 1 - Light Intensity
DEMO_000004,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-cold-rep10,Block1-Cold-Rep10,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#stomatal_conductance,Stomatal Conductance,mol/m²/s,1.35,2025-05-06 19:19:00,0.929,Semi-automated,researcher_02,Cold,1,10,Demo measurement day 1 - Stomatal Conductance
DEMO_000005,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0832,Block3-High-N-Rep07-Plant2,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#water_use_efficiency,Water Use Efficiency,μmol/mmol,2.28,2025-05-07 01:31:03,0.907,Semi-automated,sensor_system,High-N,N/A,N/A,Demo measurement day 1 - Water Use Efficiency
DEMO_000006,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0170,Block1-Low-N-Rep04-Plant5,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,23.0,2025-05-07 01:28:36,0.946,Automated,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000007,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0139,Block1-High-N-Rep08-Plant4,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,163.5,2025-05-06 20:11:27,0.899,Manual,sensor_system,High-N,N/A,N/A,Demo measurement day 1 - Fresh Biomass
DEMO_000008,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0876,Block3-Low-N-Rep06-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_count,Leaf Count,count,38.0,2025-05-06 21:01:59,0.921,Remote sensing,researcher_03,Low-N,N/A,N/A,Demo measurement day 1 - Leaf Count
DEMO_000009,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0041,Block1-Control-Rep09-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#leaf_area_index,Leaf Area Index,m²/m²,4.6,2025-05-06 23:10:03,0.902,Semi-automated,sensor_system,Control,N/A,N/A,Demo measurement day 1 - Leaf Area Index
DEMO_000010,http://www.phenome-fppn.fr/platform/diaphen/2024/plant-0366,Block2-Control-Rep04-Plant1,http://www.opensilex.org/vocabulary/oeso#Plant,plant,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#plant_height,Plant Height,cm,117.1,2025-05-07 01:34:03,0.983,Automated,researcher_03,Control,N/A,N/A,Demo measurement day 1 - Plant Height
DEMO_000011,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block1-heat-rep09,Block1-Heat-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#fresh_biomass,Fresh Biomass,g,197.29,2025-05-07 01:59:47,0.966,Semi-automated,sensor_system,Heat,1,9,Demo measurement day 1 - Fresh Biomass
DEMO_000012,http://www.phenome-fppn.fr/platform/diaphen/2024/plot-block5-high-n-rep09,Block5-High-N-Rep09,http://www.opensilex.org/vocabulary/oeso#Plot,plot,http://www.phenome-fppn.fr/platform/diaphen/2024/v1#dry_biomass,Dry Biomass,g,109.25,2025-05-07 00:36:21,0.962,Remote sensing,sensor_system,High-N,5,9,Demo measurement day 1 - Dry Biomass
